title,presence_in_store,rating,num_of_reviews,price
LINE 6 SPIDER V 20 MKII,True,4,26,7999.0
CORT CM15R (Dark Red),True,4,2,3968.0
CORT CM30R (Black),True,4,8,6716.0
YAMAHA THR10 II,True,4,27,16647.0
LINE 6 SPIDER JAM,True,4,15,12999.0
MOOER Hornet 30 Black,True,4,0,6938.0
LINE 6 SPIDER V 30 MKII,True,4,36,12488.0
PRS ARCHON 50 COMBO,True,4,0,56741.0
AMPEG ROCKET BASS 108,True,4,0,8999.0
AMPEG ROCKET BASS 110,True,5,2,12275.0
YAMAHA THR30IIA Wireless,True,4,5,28758.0
CORT CM20B,True,4,0,4274.0
AMPEG ROCKET BASS 115,True,4,0,28287.0
CORT CM150B,True,3,0,10989.0
CORT AF30,True,4,10,8344.0
LINE 6 Powercab 112 Plus,True,3,2,33536.0
CORT AF60,True,4,10,10379.0
WARWICK BC300,True,4,12,19999.0
YAMAHA THR5,True,4,38,13317.0
YAMAHA THR5A,True,4,0,13317.0
WARWICK BC80,True,4,13,10989.0
WARWICK BC150,True,4,6,15993.0
CORT MIX5,True,4,1,14449.0
CORT CM40B,True,4,2,6207.0
AMPEG ROCKET BASS 112,True,4,0,20014.0
AMPEG ROCKET BASS 210,True,0,0,34691.0
MOOER SD30,True,4,1,12303.0
CORT CM15R (Dark Blue),True,5,0,3968.0
CORT CM30R (Dark Red),True,5,0,6716.0
YAMAHA THR10 II Wireless,True,4,7,24135.0
MOOER SD75,True,5,0,17760.0
CORT CM15R (Black),True,4,3,3968.0
YAMAHA THR30 II Wireless,True,4,2,26445.0
LINE 6 Catalyst 100,True,4,0,20941.0
LINE 6 Catalyst 200,True,5,0,26177.0
YAMAHA THR30 II Wireless (Black),True,4,0,26445.0
YAMAHA THR30 II Wireless (White),True,5,0,26445.0
LINE 6 Catalyst 60,True,4,1,15706.0
MAXTONE DHC-15 Guitar Combo Amp,False,5,0,2863.0
MOOER Hornet Black,False,4,1,
MOOER SD50A,False,5,0,
MOOER Hornet Blue,False,5,0,
MOOER Hornet Pink,False,5,0,
MOOER Hornet White,False,5,0,
MOOER Hornet 05i,False,5,0,
MOOER Hornet 15i (Black),False,5,0,
MOOER Hornet 15i (White),False,5,0,
MOOER SD30i,False,5,0,
LINE 6 Powercab 112,False,4,0,0.0
PEAVEY Audition Guitar Combo Amp,False,0,0,0.0
PEAVEY Backstage Guitar Combo Amp,False,0,0,0.0
PEAVEY Bandit 112 Guitar Combo Amp,False,3,0,0.0
PEAVEY Rage 158 (IV),False,0,0,0.0
PEAVEY Rage 258 Guitar Combo Amp,False,0,0,0.0
PEAVEY Solo Guitar Amp,False,0,0,0.0
PEAVEY VYPYR X1 Guitar Modeling Amp,False,0,0,0.0
PEAVEY VYPYR X2 Guitar Modeling Amp,False,5,0,0.0
PEAVEY VYPYR X3 Guitar Modeling Amp,False,0,0,0.0
TRACE ELLIOT ELF 1x10 Combo Bass Amplifier,False,0,0,0.0
PEAVEY KB 1 Keyboard Amp,False,0,0,0.0
PEAVEY KB 2 Keyboard Amp,False,0,0,0.0
EGNATER Tweaker 40 112,False,4,2,0.0
