title,price,rating,presence_in_store,num_of_reviews
LINE 6 HX Stomp,29476.0,4,True,45
LINE 6 POD Go,21892.0,3,True,19
IK MULTIMEDIA iRIG HD X,5712.0,5,True,0
LINE 6 POD Go Limited Edition Red,21892.0,4,True,0
IK MULTIMEDIA Amplitube X-DRIVE,9999.0,3,True,0
LINE 6 POCKET POD,6608.0,4,True,76
LINE 6 DL4 MKII,15050.0,4,True,1
LINE 6 POD Go Wireless,25507.0,4,True,1
LINE 6 HELIX LT,49764.0,4,True,19
AMPEG SGT-DI,21681.0,5,True,0
MXR POLY BLUE OCTAVE,8139.0,4,True,0
LINE 6 HELIX,62881.0,4,True,18
DUNLOP CRYBABY JUNIOR WAH,5290.0,5,True,0
DUNLOP CRYBABY MINI WAH,4143.0,4,True,1
DUNLOP CRY BABY MINI 535Q WAH,6104.0,4,True,1
MXR CARBON COPY DELUXE ANALOG DELAY,8139.0,5,True,5
MOOER RADAR,5643.0,4,True,22
MXR SCRIPT DYNA COMP,5697.0,5,True,0
MXR FOD DRIVE,6918.0,5,True,0
MXR DYNA COMP DELUXE,5290.0,5,True,0
MOOER E7 Polyphonic Guitar Synth,3978.0,5,True,0
MOOER GE300,31219.0,4,True,15
MXR CARBON COPY MINI ANALOG DELAY,6104.0,4,True,1
MXR DOOKIE DRIVE,7732.0,4,True,0
DUNLOP JOE BONAMASSA SIGNATURE CRYBABY,7732.0,5,True,6
MOOER PREAMP LIVE,17113.0,4,True,13
MOOER GE250,19814.0,4,True,6
DUNLOP CRY BABY CLASSIC WAH,5150.0,5,True,14
MOOER GE150,7770.0,4,True,13
MXR Bass Dyna Comp Compressor Mini,6104.0,5,True,1
MOOER BABY BOMB 30,4163.0,4,True,4
MOOER AUDIOFILE,2683.0,4,True,2
MXR SUGAR DRIVE,4883.0,5,True,0
MXR EVH 5150 Chorus,8139.0,5,True,0
DUNLOP CRY BABY 535Q MULTI-WAH,6104.0,4,True,17
WAY HUGE SMALLS SWOLLEN PICKLE FUZZ,5290.0,5,True,0
FRIEDMAN GOLD-72 WAH PEDAL,7265.0,5,True,0
BOGNER UBERSCHALL PEDAL,10967.0,4,True,17
DUNLOP EVH WAH,8139.0,5,True,7
DUNLOP CRY BABY RACK MODULE,28859.0,4,True,5
MXR REVERB,8139.0,4,True,14
DUNLOP ECHOPLEX DELAY,8139.0,5,True,3
DUNLOP VOLUME (X) MINI,5290.0,4,True,5
MXR Thump Bass Preamp,5290.0,3,True,0
DUNLOP CRYBABY MINI BASS WAH,5697.0,4,True,4
MOOER SHIMVERB PRO,5273.0,5,True,0
MXR PHASE 95,4069.0,4,True,2
MXR SUPER BADASS VARIAC FUZZ,5290.0,5,True,1
MXR SUB MACHINE FUZZ,6918.0,5,True,4
MXR VINTAGE BASS OCTAVE,6511.0,5,True,0
DUNLOP JOHN PETRUCCI CRY BABY WAH,8139.0,4,True,0
MXR CUSTOM BADASS MODIFIED O.D.,4069.0,4,True,17
MXR DYNA COMP MINI,4069.0,5,True,0
MXR CLONE LOOPER,6104.0,4,True,3
IK MULTIMEDIA iRIG HD2,5273.0,4,True,7
MXR SUPER BADASS DISTORTION,4069.0,4,True,16
DUNLOP CRY BABY BASS WAH,5697.0,5,True,2
IK MULTIMEDIA iRIG 2,2338.0,4,True,4
MOOER 001 GAS STATION,4255.0,5,True,0
MOOER 005 BROWN SOUND 3,4255.0,5,True,6
LINE 6 HX Stomp XL,34207.0,4,True,7
MOOER 008 CALI-MK3,4255.0,5,True,9
MOOER 009 BLACKNIGHT,4255.0,4,True,0
MOOER Tone Capture GTR,3978.0,5,True,0
MOOER ECHOVERB,2868.0,4,True,2
MOOER MODVERB,2868.0,0,True,1
MXR SIX BAND EQ,4069.0,5,True,0
DUNLOP ECHOPLEX PREAMP,5290.0,3,True,3
MXR UNI-VIBE CHORUS/VIBRATO,5290.0,5,True,6
MOOER BABY WATER,2775.0,5,True,0
BOGNER BURNLEY,10882.0,5,True,0
MOOER SKYVERB,3145.0,4,True,0
MOOER NOISE KILLER,2775.0,4,True,2
MXR BASS PREAMP,6918.0,4,True,3
XVIVE GA-3 CLASSIC ROCK,976.0,4,True,2
XVIVE GA-4 METAL,976.0,4,True,1
XVIVE GA-1 ACOUSTIC,976.0,4,True,0
MXR OCTAVIO Fuzz,5290.0,0,True,0
DUNLOP SILICON FUZZ FACE MINI DISTORTION,5290.0,4,True,5
DUNLOP GERMANIUM FUZZ FACE MINI DISTORTION,5290.0,3,True,0
MOOER WOOD VERB,3145.0,5,True,0
MOOER SOUL SHIVER,3145.0,5,True,0
MXR PRIME DISTORTION,2441.0,4,True,10
MXR BASS CHORUS DELUXE,7296.0,5,True,0
MOOER SUPER BENDER,5550.0,5,True,8
BOGNER ECSTASY BLUE,13160.0,5,True,7
MXR TALK BOX,7732.0,4,True,8
DUNLOP CLYDE MCCOY CRY BABY WAH,8139.0,4,True,0
DUNLOP DIMEBAG CRY BABY FROM HELL WAH,8139.0,5,True,0
MOOER MOD FACTORY MKII,3330.0,4,True,0
MOOER BLUES MOOD,2775.0,5,True,0
MOOER FUNKY MONKEY,3145.0,4,True,3
MOOER MICRO D.I. Box,2775.0,5,True,18
MOOER GRAPHIC B,2775.0,5,True,0
MOOER LOFI MACHINE,3145.0,4,True,0
MOOER ACOUSTIKAR,2775.0,4,True,4
LINE 6 M5 Stompbox Modeler,7998.0,4,True,34
DUNLOP BUDDY GUY CRY BABY WAH,8583.0,5,True,2
MOOER BLUES CRAB,2313.0,3,True,2
MOOER ANA ECHO,2775.0,5,True,7
MOOER ECHOLIZER,2775.0,5,True,2
MOOER E-LADY,2775.0,5,True,2
MOOER TRELICOPTER,2313.0,5,True,5
MOOER FLEX BOOST,2313.0,5,True,7
DUNLOP HIGH GAIN VOLUME PEDAL,4069.0,4,True,4
MXR DISTORTION+,3662.0,4,True,17
MXR CUSTOM BADASS ’78 DISTORTION,3662.0,4,True,27
MXR DISTORTION III,3662.0,4,True,30
MXR DYNA COMP,3662.0,3,True,3
MXR SUPER COMP,4069.0,4,True,10
MXR SMART GATE,5579.0,4,True,17
MXR NOISE CLAMP,4069.0,4,True,18
MXR WYLDE PHASE,4069.0,5,True,3
MXR GT-OD OVERDRIVE,4069.0,4,True,14
MXR PHASE 90,3662.0,5,True,6
MXR CUSTOM SHOP '75 VINTAGE PHASE 45,4069.0,5,True,0
MXR PHASE 100,6060.0,5,True,0
MXR MICRO AMP,3662.0,4,True,4
MXR CAE BOOST/LINE DRIVER,4069.0,5,True,5
MXR CAE BOOST/OVERDRIVE,5697.0,4,True,6
DUNLOP CUSTOM AUDIO ELECTRONICS WAH,7589.0,5,True,4
MXR STEREO CHORUS,7421.0,5,True,5
MXR MICRO CHORUS,4069.0,4,True,4
MXR MICRO FLANGER,4069.0,5,True,0
MXR BASS FUZZ DELUXE,5290.0,5,True,2
DUNLOP ROTOVIBE CHORUS/VIBRATO,12209.0,5,True,5
MXR BASS OCTAVE DELUXE,6104.0,5,True,8
MXR BASS D.I.+,6866.0,4,True,21
MXR BASS ENVELOPE FILTER,6104.0,4,True,11
MXR BASS COMPRESSOR,7732.0,4,True,17
MOOER TRES CAB,3145.0,5,True,3
MXR RAW DAWG OVERDRIVE,4883.0,4,True,0
MXR MICRO AMP+,4883.0,5,True,0
WAMPLER TUMNUS DELUXE,8547.0,5,True,0
MOOER 004 DAY TRIPPER,4255.0,0,True,0
DIEZEL VH4 PEDAL,10684.0,4,True,0
MOOER 012 US GOLD 100,4255.0,5,True,0
WAMPLER EUPHORIA OVERDRIVE,8547.0,4,True,0
WAMPLER THIRTY SOMETHING,10256.0,5,True,0
WAMPLER FAUX TAPE ECHO v2,10256.0,4,True,2
SYNERGY SYN2,36630.0,5,True,0
SYNERGY Friedman BE Preamp Module,17094.0,4,True,1
SYNERGY 800 Preamp Module,17094.0,5,True,0
SYNERGY Diezel VH4 Preamp Module,17094.0,5,True,0
FRIEDMAN BUFFER BAY 6,7265.0,5,True,1
MOOER GROOVE LOOP,3700.0,4,True,3
IK MULTIMEDIA IRIG STOMP I/O,14436.0,4,True,4
MOOER 018 - CUSTOM 100,4255.0,5,True,0
MOOER 016 PHOENIX,4255.0,4,True,0
MXR CUSTOM SHOP TIMMY OVERDRIVE,5290.0,5,True,0
DUNLOP Cry Baby Q Zone Fixed Wah,6104.0,5,True,0
MXR BASS AUTO Q,5846.0,5,True,0
MXR AUTO Q,5994.0,5,True,0
MOOER D7 Delay,3978.0,4,True,14
MOOER R7 Reverb,3978.0,4,True,0
MOOER MICRO ABY MKII,2035.0,4,True,4
MOOER THE WAHTER,4440.0,0,True,0
MOOER 002 UK GOLD 900,4255.0,4,True,0
MOOER REPEATER,3145.0,4,True,0
MOOER PURE BOOST,2313.0,4,True,4
XVIVE V10 AMP LITONE (BOOST),2286.0,5,True,1
DUNLOP UNI-VIBE FOOT CONTROL,3626.0,0,True,0
MOOER REDKID,3700.0,5,True,2
MXR CUSTOM SHOP SCRIPT PHASE 90 - LED,4476.0,4,True,0
MXR EVH PHASE 90,5675.0,5,True,13
MOOER 006 US CLASSIC DELUXE,4255.0,4,True,0
DUNLOP FUZZ FACE DISTORTION,6104.0,5,True,4
MXR TREMOLO,6511.0,5,True,1
DUNLOP TOM MORELLO CRY BABY WAH,5290.0,4,True,1
AMPEG Classic Analog Bass Preamp,5342.0,5,True,0
AMPEG Liquifier Analog Chorus,5342.0,0,True,0
AMPEG Opto Comp Compressor,5342.0,5,True,3
AMPEG Scrambler Bass Overdrive,5342.0,4,True,0
AMPEG SCR-DI,12146.0,4,True,2
MOOER A7 Ambiance,3978.0,5,True,0
IK MULTIMEDIA Amplitube X-SPACE,9999.0,5,True,0
IK MULTIMEDIA Amplitube X-TIME,9999.0,4,True,0
IK MULTIMEDIA Amplitube X-VIBE,9999.0,5,True,0
MOOER 011 CALI-DUAL,4255.0,4,True,1
DUNLOP CRYBABY Q MINI 535Q AUTO-RETURN WAH,6511.0,5,True,0
MXR DEEP PHASE,5290.0,5,True,0
DUNLOP CRY BABY CUSTOM BADASS DUAL-INDUCTOR EDITION WAH,8139.0,5,True,0
MOOER GROOVE LOOP X2,7123.0,5,True,0
MOOER D7 X2 Delay,6198.0,5,True,0
WAY HUGE ATREIDES ANALOG WEIRDING MODULE,8139.0,5,True,0
MOOER R7 X2 Reverb,7123.0,5,True,0
MXR TOM MORELLO POWER 50 OVERDRIVE,7732.0,3,True,0
DUNLOP KH95X KIRK HAMMETT COLLECTION CRY BABY WAH,8139.0,5,True,0
MXR SUPER BADASS DYNAMIC O.D.,5290.0,5,True,0
MOOER 015 BROWN SOUND,4255.0,5,True,0
MOOER CAB X2,7030.0,5,False,0
MXR BASS DISTORTION,6104.0,5,False,2
SYNERGY VAI SIGNATURE PRE-AMP MODULE,17094.0,5,False,0
MXR FULLBORE METAL,0.0,4,False,170
MOOER Looper X2,0.0,5,False,0
DUNLOP JUSTIN CHANCELLOR CRY BABY WAH,0.0,5,False,0
DUNLOP CRY BABY STANDARD WAH,0.0,4,False,40
MOOER GE200,0.0,3,False,13
MOOER Drummer X2,0.0,5,False,0
WAY HUGE SMALLS AQUA-PUSS ANALOG DELAY,0.0,5,False,1
MXR CARBON COPY ANALOG DELAY,0.0,4,False,6
MOOER RED TRUCK,0.0,4,False,9
MOOER PITCH STEP,0.0,5,False,0
MXR EVH 5150 OVERDRIVE,0.0,4,False,11
FRIEDMAN BE-OD,0.0,4,False,8
MOOER GE100,0.0,4,False,19
MXR STUDIO COMPRESSOR,0.0,5,False,3
